district,avg_per_price,avg_total_price,subway_ratio,school_ratio,house_count
南山,10.847224793388431,1814.7089772727272,0.946969696969697,0.4765840220385675,2904
福田,8.874677717391304,1136.6910298913044,0.970108695652174,0.7029891304347826,3680
宝安,5.901788522427441,738.2400316622692,0.8422163588390501,0.42691292875989445,3790
龙华,5.299327501429389,554.1141909662664,0.7670097198399085,0.4554030874785592,3498
罗湖,5.096742654484251,410.91691512382783,0.9935080548208705,0.6006251502765088,4159
盐田,4.0593648916636065,475.6385751009916,0.9676827029012119,0.4296731546088873,2723
光明,4.02097535521803,392.8901959823616,0.7388535031847133,0.2449779519843214,2041
龙岗,3.8970381875454327,384.44807366125514,0.8752120184153138,0.6304821904531136,4127
坪山,2.932493987685621,272.26272727272726,0.7370517928286853,0.3922491850778703,2761
大鹏新区,2.83910814479638,289.42895927601813,0.0,0.35294117647058826,221
