district,subway,school,per_price
宝安,1,0,2.0114
宝安,1,0,2.0
宝安,1,0,1.5953
宝安,0,0,1.0884
宝安,1,0,3.2142
宝安,0,0,1.1173
宝安,0,0,2.4922
宝安,0,0,0.7509
宝安,1,0,1.141
宝安,0,0,2.5263
宝安,1,0,1.1339
宝安,0,0,0.6805
宝安,1,0,3.267
宝安,1,0,1.99
宝安,0,0,0.6972
宝安,0,1,2.4325
宝安,1,0,2.9829
宝安,0,0,1.7647
宝安,1,0,0.791
宝安,1,0,1.1235
宝安,1,0,1.1052
宝安,1,0,1.4861
宝安,1,1,4.8976
宝安,1,0,7.0135
宝安,1,0,9.4728
宝安,0,0,1.1363
宝安,0,0,1.2328
宝安,1,0,1.3472
宝安,1,0,9.9485
宝安,1,0,1.2151
宝安,0,0,1.2753
宝安,1,1,1.4603
宝安,0,0,1.4457
宝安,0,0,0.8
宝安,1,0,0.8016
宝安,0,0,1.3035
宝安,0,0,1.2894
宝安,0,0,1.2414
宝安,0,0,1.0303
宝安,0,0,2.1508
宝安,0,0,1.4335
宝安,0,0,0.75
宝安,0,0,1.36
宝安,0,0,1.0
宝安,1,0,0.7443
宝安,1,1,11.241
宝安,0,0,1.25
宝安,1,0,1.4848
宝安,1,0,1.1176
宝安,0,0,0.955
宝安,0,0,0.6203
宝安,0,0,0.6923
宝安,1,0,9.8876
宝安,1,0,3.7942
宝安,1,0,1.2888
宝安,1,0,3.8166
宝安,0,0,1.3372
宝安,1,0,3.6342
宝安,1,0,3.6699
宝安,1,0,6.6165
宝安,1,0,3.8166
宝安,1,0,1.3157
宝安,0,0,1.3541
宝安,1,0,1.215
宝安,1,0,3.1104
宝安,1,0,4.5128
宝安,1,0,5.3065
宝安,1,1,6.3509
宝安,1,1,5.0864
宝安,1,0,3.5241
宝安,1,1,4.6917
宝安,1,0,7.5936
宝安,1,1,6.8636
宝安,1,1,5.5796
宝安,0,1,5.5853
宝安,0,1,5.2874
宝安,1,1,5.463
宝安,1,0,3.5241
宝安,1,1,8.3499
宝安,1,1,10.8705
宝安,1,1,10.4748
宝安,1,1,11.5336
宝安,1,0,10.2917
宝安,1,0,6.9321
宝安,1,0,6.3092
宝安,1,0,10.2555
宝安,1,0,9.8236
宝安,1,0,3.625
宝安,1,0,13.0621
宝安,1,1,9.412
宝安,1,0,9.6141
宝安,1,0,10.1257
宝安,1,0,9.6994
宝安,1,1,11.7568
宝安,0,0,7.0833
宝安,1,0,6.4044
宝安,1,0,5.7218
宝安,1,1,12.409
宝安,1,1,12.493
宝安,1,0,7.1275
宝安,0,0,3.7446
宝安,1,1,11.6156
宝安,0,0,3.8951
宝安,1,1,10.2192
宝安,0,0,3.9522
宝安,1,0,1.0222
宝安,0,1,6.1789
宝安,1,1,13.6273
宝安,1,0,8.3827
宝安,1,0,9.9748
宝安,1,0,7.159
宝安,1,1,6.9025
宝安,1,0,9.9937
宝安,1,1,11.7194
宝安,1,0,9.6803
宝安,0,0,3.7174
宝安,1,0,5.0106
宝安,1,0,7.5018
宝安,1,0,8.3656
宝安,1,0,8.2617
宝安,1,0,6.5168
宝安,0,0,3.9731
宝安,1,1,7.4744
宝安,1,1,9.5744
宝安,1,0,4.3207
宝安,1,1,13.8674
宝安,1,1,11.4007
宝安,0,1,5.5735
