district,roomnum,hall,AREA,C_floor,school,subway,per_price,total_price,source_file,is_near_subway
宝安,2,2,52.2,middle,0,1,2.0114,105.0,sz_baoan_2025.xlsx,1
宝安,2,2,60.0,middle,0,1,2.0,120.0,sz_baoan_2025.xlsx,1
宝安,3,2,75.22,middle,0,1,1.5953,120.0,sz_baoan_2025.xlsx,1
宝安,3,2,73.5,high,0,0,1.0884,80.0,sz_baoan_2025.xlsx,0
宝安,3,2,42.0,low,0,1,3.2142,135.0,sz_baoan_2025.xlsx,1
宝安,3,2,80.55,middle,0,0,1.1173,90.0,sz_baoan_2025.xlsx,0
宝安,2,1,32.1,high,0,0,2.4922,80.0,sz_baoan_2025.xlsx,0
宝安,3,2,89.22,high,0,0,0.7509,67.0,sz_baoan_2025.xlsx,0
宝安,3,2,87.64,middle,0,1,1.141,100.0,sz_baoan_2025.xlsx,1
宝安,2,2,47.5,middle,0,0,2.5263,120.0,sz_baoan_2025.xlsx,0
宝安,3,2,70.55,high,0,1,1.1339,80.0,sz_baoan_2025.xlsx,1
宝安,3,2,85.22,middle,0,0,0.6805,58.0,sz_baoan_2025.xlsx,0
宝安,3,1,35.2,high,0,1,3.267,115.0,sz_baoan_2025.xlsx,1
宝安,2,2,40.2,low,0,1,1.99,80.0,sz_baoan_2025.xlsx,1
宝安,3,2,93.22,middle,0,0,0.6972,65.0,sz_baoan_2025.xlsx,0
宝安,2,2,45.22,middle,1,0,2.4325,110.0,sz_baoan_2025.xlsx,0
宝安,2,2,35.2,low,0,1,2.9829,105.0,sz_baoan_2025.xlsx,1
宝安,3,2,68.0,high,0,0,1.7647,120.0,sz_baoan_2025.xlsx,0
宝安,3,2,93.55,high,0,1,0.791,74.0,sz_baoan_2025.xlsx,1
宝安,3,2,89.0,low,0,1,1.1235,100.0,sz_baoan_2025.xlsx,1
宝安,3,2,95.0,low,0,1,1.1052,105.0,sz_baoan_2025.xlsx,1
